Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
3,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,131,462,1713,1151,34,,,"[28471589181, ]"
2,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,201,Created,476,462,1714,1145,24,,Reflected,"[28471589181,  ]"
1,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,480,462,1715,643,697,,Reflected,"[28471589181, """"]"
4,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,480,462,1714,647,697,,Reflected,"[28471589181, `]"
11,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,421,462,1725,645,697,,Reflected,"[28471589181, test@domain.]"
6,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,575,462,1714,641,697,,Reflected,"[28471589181, ;]"
7,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,557,462,1717,641,697,,Reflected,"[28471589181, test]"
8,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,569,462,1718,645,697,,Reflected,"[28471589181, test@]"
10,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,546,462,1724,641,697,,Reflected,"[28471589181, test@domain]"
5,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,640,462,1714,647,697,,Reflected,"[28471589181, .]"
12,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,200,462,1729,645,697,,Reflected,"[28471589181, test@.domain.com]"
9,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,682,462,1722,647,697,,Reflected,"[28471589181, @test.com]"
14,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,314,462,1729,643,697,,Reflected,"[28471589181, test@@domain.com]"
13,Fuzzed,Mon Dec 15 08:44:39 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,317,462,1729,645,697,,Reflected,"[28471589181, test@domain..com]"
15,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,247,462,1735,643,697,,Reflected,"[28471589181, test domain@domain.com]"
16,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,222,462,1728,645,697,,Reflected,"[28471589181, test@domain com]"
17,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,257,462,1728,643,697,,Reflected,"[28471589181, test@domain,com]"
20,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,219,462,1728,643,697,,Reflected,"[28471589181, test@domain|com]"
19,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,272,462,1728,645,697,,Reflected,"[28471589181, test@domain:com]"
21,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,249,462,1728,643,697,,Reflected,"[28471589181, test@domain/com]"
18,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,442,462,1728,641,697,,Reflected,"[28471589181, test@domain;com]"
22,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,308,462,1728,645,697,,Reflected,"[28471589181, test@domain\com]"
23,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,291,462,1728,643,697,,Reflected,"[28471589181, test@domain<com]"
26,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,284,462,1728,645,697,,Reflected,"[28471589181, test@domain'com]"
24,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,294,462,1728,643,697,,Reflected,"[28471589181, test@domain>com]"
27,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,269,462,1728,643,697,,Reflected,"[28471589181, test@domain`com]"
25,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,326,462,1728,643,697,,Reflected,"[28471589181, test@domain""com]"
28,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,263,462,1728,643,697,,Reflected,"[28471589181, test@domain#com]"
30,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,277,462,1728,641,697,,Reflected,"[28471589181, test@domain%com]"
32,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,240,462,1738,641,697,,Reflected,"[28471589181, <script>alert(1)</script>]"
33,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,217,462,1741,643,697,,Reflected,"[28471589181, <img src=x onerror=alert(1)>]"
31,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,255,462,1728,641,697,,Reflected,"[28471589181, test@domain&com]"
29,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,416,462,1728,645,697,,Reflected,"[28471589181, test@domain$com]"
35,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,225,462,1721,641,697,,Reflected,"[28471589181, 1 OR 1=1]"
34,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,227,462,1724,643,697,,Reflected,"[28471589181, ' OR 1=1 --]"
36,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,243,462,1717,641,697,,Reflected,"[28471589181, null]"
37,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,291,462,1722,643,697,,Reflected,"[28471589181, undefined]"
39,Fuzzed,Mon Dec 15 08:44:40 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,215,462,1715,645,697,,Reflected,"[28471589181, {}]"
