Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
3,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,668,462,1713,1151,35,,,"[28471589181, ]"
6,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,690,462,1714,1149,35,,,"[28471589181, ;]"
10,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,615,462,1722,1151,35,,,"[28471589181, @test.com]"
8,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,659,462,1717,1149,35,,,"[28471589181, test]"
4,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,753,462,1714,1157,35,,,"[28471589181, `]"
2,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,776,462,1714,1157,35,,Reflected,"[28471589181,  ]"
5,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,761,462,1714,1153,35,,,"[28471589181, .]"
7,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,699,462,1728,1153,35,,,"[28471589181, info@crovote.hr]"
9,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,684,462,1718,1151,35,,,"[28471589181, test@]"
1,Fuzzed,Mon Dec 15 09:13:42 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,766,462,1715,1153,35,,,"[28471589181, """"]"
