Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
4,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,607,462,1732,1149,35,,,[I]
3,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,638,462,1736,1153,35,,,[Marko]
9,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,604,462,1741,1153,35,,,[AAAAAAAAAA]
6,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,657,462,1733,1151,35,,,[Iv]
1,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,678,462,1735,1149,35,,,[Ivan]
2,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,691,462,1734,1155,35,,,[Ana]
8,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,703,462,1737,1151,35,,,[123456]
10,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,659,462,1783,1149,35,,,[AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]
5,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,737,462,1732,1155,35,,,[A]
7,Fuzzed,Sun Dec 14 22:56:28 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,751,462,1734,1149,35,,,[123]
13,Fuzzed,Sun Dec 14 22:56:29 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,124,462,1735,1153,35,,,[Iv@n]
