Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
3,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,201,Created,518,462,1735,1153,24,,,"[28471589181, Marko]"
7,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,524,462,1733,641,697,,Reflected,"[28471589181, 123]"
5,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,522,462,1731,645,697,,Reflected,"[28471589181, A]"
6,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,517,462,1732,645,697,,Reflected,"[28471589181, Iv]"
9,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,494,462,1740,645,697,,Reflected,"[28471589181, AAAAAAAAAA]"
1,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,554,462,1734,643,697,,Reflected,"[28471589181, Ivan]"
2,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,536,462,1733,645,697,,Reflected,"[28471589181, Ana]"
4,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,554,462,1731,647,697,,Reflected,"[28471589181, I]"
8,Fuzzed,Sun Dec 14 23:09:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,524,462,1736,643,697,,Reflected,"[28471589181, 123456]"
10,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,507,462,1782,641,677,,,"[28471589181, AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]"
13,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,161,462,1734,645,697,,Reflected,"[28471589181, Iv@n]"
14,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,179,462,1735,641,697,,Reflected,"[28471589181, Iv@n!]"
12,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,300,462,1735,643,697,,Reflected,"[28471589181, 1Ivan]"
11,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,333,462,1735,645,697,,Reflected,"[28471589181, Ivan1]"
15,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,299,462,1735,641,697,,Reflected,"[28471589181, Iv@n#]"
17,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,299,462,1739,647,697,,Reflected,"[28471589181, Ivan_Ivan]"
16,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,331,462,1739,643,697,,Reflected,"[28471589181, Ivan-Ivan]"
18,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,331,462,1739,645,697,,Reflected,"[28471589181, Ivan.Ivan]"
19,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,396,462,1739,641,697,,Reflected,"[28471589181, Ivan/Ivan]"
20,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,338,462,1739,641,697,,Reflected,"[28471589181, Ivan\Ivan]"
21,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,284,462,1739,645,697,,Reflected,"[28471589181, Ivan|Ivan]"
22,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,289,462,1739,643,697,,Reflected,"[28471589181, Ivan;Ivan]"
23,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,173,462,1739,643,697,,Reflected,"[28471589181, Ivan:Ivan]"
24,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,209,462,1739,649,697,,Reflected,"[28471589181, Ivan'Ivan]"
26,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,269,462,1739,647,697,,Reflected,"[28471589181, Ivan`Ivan]"
28,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,253,462,1739,641,697,,Reflected,"[28471589181, Ivan$Ivan]"
25,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,315,462,1739,641,697,,Reflected,"[28471589181, Ivan""Ivan]"
27,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,282,462,1739,641,697,,Reflected,"[28471589181, Ivan#Ivan]"
29,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,292,462,1739,645,697,,Reflected,"[28471589181, Ivan%Ivan]"
30,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,339,462,1739,645,697,,Reflected,"[28471589181, Ivan&Ivan]"
31,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,296,462,1739,641,697,,Reflected,"[28471589181, Ivan<Ivan]"
33,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,264,462,1755,643,697,,Reflected,"[28471589181, <script>alert(1)</script>]"
32,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,331,462,1739,641,697,,Reflected,"[28471589181, Ivan>Ivan]"
34,Fuzzed,Sun Dec 14 23:09:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,296,462,1758,641,697,,Reflected,"[28471589181, <img src=x onerror=alert(1)>]"
35,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,260,462,1741,641,697,,Reflected,"[28471589181, ' OR 1=1 --]"
43,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,56,462,1730,1149,34,,,"[28471589181, ]"
37,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,259,462,1734,643,697,,Reflected,"[28471589181, null]"
36,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,286,462,1738,645,697,,Reflected,"[28471589181, 1 OR 1=1]"
38,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,263,462,1739,645,697,,Reflected,"[28471589181, undefined]"
39,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,243,462,1732,649,697,,Reflected,"[28471589181, []]"
41,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,216,462,1734,645,697,,Reflected,"[28471589181, true]"
42,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,220,462,1735,641,697,,Reflected,"[28471589181, false]"
40,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,250,462,1732,645,697,,Reflected,"[28471589181, {}]"
44,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,264,462,1731,643,697,,Reflected,"[28471589181,  ]"
46,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,201,Created,241,462,1733,1145,24,,,"[74059407950, Ana]"
45,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,276,462,1734,645,697,,Reflected,"[74059407950, Ivan]"
47,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,257,462,1735,643,697,,Reflected,"[74059407950, Marko]"
49,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,312,462,1731,647,697,,Reflected,"[74059407950, A]"
48,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,390,462,1731,643,697,,Reflected,"[74059407950, I]"
51,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,308,462,1733,641,697,,Reflected,"[74059407950, 123]"
52,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,312,462,1736,645,697,,Reflected,"[74059407950, 123456]"
50,Fuzzed,Sun Dec 14 23:10:00 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,431,462,1732,641,697,,Reflected,"[74059407950, Iv]"
