Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
3,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,89,462,1723,1157,34,,,[]
1,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,259,462,1734,1147,24,,,[39851043852]
4,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,263,462,1724,1151,24,,,[1]
6,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,267,462,1735,643,676,,,[123456789012]
2,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,337,462,1734,643,697,,Reflected,[88721173004]
8,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,345,462,1727,1149,24,,,[null]
5,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,369,462,1733,1151,24,,,[1234567890]
9,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,415,462,1732,1147,24,,,[undefined]
11,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,359,462,1725,1149,24,,,[{}]
7,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,540,462,1743,641,676,,,[12345678901234567890]
12,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,353,462,1727,1151,24,,,[true]
14,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,340,462,1734,1145,24,,,[AAAAAAAAAAA]
13,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,345,462,1728,1151,24,,,[false]
10,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,583,462,1725,1149,24,,,[[]]
17,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,272,462,1736,645,676,,,[123-456-78901]
16,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,340,462,1734,1147,24,,,[ABC51043852]
18,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,281,462,1737,641,676,,,[398.510.438.52]
15,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,415,462,1734,1147,24,,,[1234567890A]
20,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,263,462,1735,647,676,,,[ 39851043852]
19,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,445,462,1734,1145,24,,,[3985104385 ]
22,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,295,462,1724,1147,24,,Reflected,"[""]"
21,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,299,462,1724,1147,24,,,[']
23,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,369,462,1724,1147,24,,,[;]
24,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,390,462,1724,1147,24,,,[|]
25,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,373,462,1726,1151,24,,,[$()]
26,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,432,462,1724,1147,24,,,[`]
29,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,318,462,1735,643,676,,,[1' OR '1'='1]
28,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,389,462,1731,1145,24,,,[1 OR 1=1]
27,Fuzzed,Sun Dec 14 22:17:05 CET 2025,POST,https://localhost:8000/api/register,201,Created,460,462,1724,1151,24,,,[#]
30,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,308,462,1734,1147,24,,,[' OR 1=1 --]
31,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,324,462,1748,645,676,,,[<script>alert(1)</script>]
32,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,345,462,1751,645,676,,,[<img src=x onerror=alert(1)>]
34,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,280,462,1726,1151,24,,,[..\]
33,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,347,462,1726,1147,24,,,[../]
35,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,350,462,1734,643,697,,Reflected,[/etc/passwd]
37,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,266,462,1734,1149,24,,,[11111111111]
38,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,273,462,1734,1145,24,,,[99999999999]
36,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,311,462,1734,1145,24,,,[00000000000]
39,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,201,Created,272,462,1734,1147,24,,,[12345678901]
40,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,312,462,1773,641,676,,,[11111111111111111111111111111111111111111111111111]
41,Fuzzed,Sun Dec 14 22:17:06 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,306,462,1775,647,676,,,[AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]
