Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
2,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,201,Created,444,462,1735,1147,24,,,"[28471589181, 0987654321]"
6,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,529,462,1728,647,697,,Reflected,"[28471589181, 123]"
3,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,539,462,1735,643,697,,Reflected,"[28471589181, 0123456789]"
8,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,572,462,1735,643,697,,Reflected,"[28471589181, 0000000000]"
7,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,580,462,1726,643,697,,Reflected,"[28471589181, 1]"
9,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,575,462,1735,643,697,,Reflected,"[28471589181, 1111111111]"
10,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,661,462,1735,645,697,,Reflected,"[28471589181, 9999999999]"
5,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,685,462,1731,643,697,,Reflected,"[28471589181, 123456]"
4,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,692,462,1732,647,697,,Reflected,"[28471589181, 1234567]"
1,Fuzzed,Sun Dec 14 23:18:55 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,702,462,1735,643,697,,Reflected,"[28471589181, 0912345678]"
11,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,318,462,1737,645,697,,Reflected,"[28471589181, 123456789012]"
12,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,264,462,1738,645,697,,Reflected,"[28471589181, +385912345678]"
13,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,263,462,1741,643,678,,,"[28471589181, +385-91-234-5678]"
14,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,347,462,1741,645,678,,,"[28471589181, +385 91 234 5678]"
15,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,345,462,1737,643,697,,Reflected,"[28471589181, 091/234/5678]"
16,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,334,462,1737,649,697,,Reflected,"[28471589181, 091-234-5678]"
17,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,255,462,1737,643,697,,Reflected,"[28471589181, (091)2345678]"
18,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,249,462,1736,645,697,,Reflected,"[28471589181, 0912345678 ]"
20,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,280,462,1738,643,697,,Reflected,"[28471589181, 0912345678abc]"
19,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,311,462,1736,645,697,,Reflected,"[28471589181,  0912345678]"
21,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,300,462,1738,645,697,,Reflected,"[28471589181, abc0912345678]"
22,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,270,462,1730,643,697,,Reflected,"[28471589181, phone]"
23,Fuzzed,Sun Dec 14 23:18:56 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,281,462,1735,641,697,,Reflected,"[28471589181, AAAAAAAAAA]"
