Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
8,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,571,462,1735,1151,35,,,"[28471589181, 0000000000]"
1,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,632,462,1735,1151,35,,,"[28471589181, 0912345678]"
4,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,627,462,1732,1149,35,,,"[28471589181, 1234567]"
10,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,612,462,1735,1155,35,,,"[28471589181, 9999999999]"
6,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,677,462,1728,1153,35,,,"[28471589181, 123]"
3,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,707,462,1735,1153,35,,,"[28471589181, 0123456789]"
7,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,720,462,1726,1149,35,,,"[28471589181, 1]"
2,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,733,462,1735,1153,35,,,"[28471589181, 0987654321]"
5,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,743,462,1731,1151,35,,,"[28471589181, 123456]"
9,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,826,462,1735,1149,35,,,"[28471589181, 1111111111]"
16,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,175,462,1737,1151,35,,,"[28471589181, 091-234-5678]"
13,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,288,462,1743,1153,35,,,"[28471589181, ‪+385-91-234-5678‬]"
18,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,210,462,1736,1149,35,,,"[28471589181, 0912345678 ]"
15,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,341,462,1737,1151,35,,,"[28471589181, 091/234/5678]"
11,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,451,462,1737,1151,35,,,"[28471589181, 123456789012]"
17,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,341,462,1737,1149,35,,,"[28471589181, (091)2345678]"
12,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,449,462,1740,1153,35,,,"[28471589181, ‪+385912345678‬]"
14,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,473,462,1743,1151,35,,,"[28471589181, ‪+385 91 234 5678‬]"
22,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,204,462,1730,1151,35,,,"[28471589181, phone]"
19,Fuzzed,Sun Dec 14 23:23:10 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,511,462,1736,1153,35,,,"[28471589181,  0912345678]"
20,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,417,462,1738,1153,35,,,"[28471589181, 0912345678abc]"
25,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,261,462,1736,1157,35,,,"[28471589181, ' OR 1=1 --]"
21,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,440,462,1738,1153,35,,,"[28471589181, abc0912345678]"
26,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,258,462,1728,1153,35,,,"[28471589181, ../]"
24,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,320,462,1750,1153,35,,,"[28471589181, <script>alert(1)</script>]"
23,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,410,462,1735,1149,35,,,"[28471589181, AAAAAAAAAA]"
28,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,248,462,1734,1151,35,,,"[28471589181, undefined]"
27,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,284,462,1729,1149,35,,,"[28471589181, null]"
29,Fuzzed,Sun Dec 14 23:23:11 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,232,462,1727,1151,35,,,"[28471589181, []]"
