Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
2,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,201,Created,408,462,1726,1149,24,,Reflected,"[28471589181,  ]"
8,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,398,462,1735,649,697,,Reflected,"[28471589181, LOZINKA123]"
4,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,482,462,1727,641,697,,Reflected,"[28471589181,   ]"
9,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,446,462,1736,649,697,,Reflected,"[28471589181, lozinka 123]"
10,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,469,462,1736,641,697,,Reflected,"[28471589181, lozinka123 ]"
3,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,540,462,1727,641,697,,Reflected,"[28471589181,   ]"
5,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,538,462,1734,641,697,,Reflected,"[28471589181, lozinka12]"
1,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,546,462,1727,645,697,,Reflected,"[28471589181, """"]"
7,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,617,462,1735,649,697,,Reflected,"[28471589181, Lozinka123]"
6,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,665,462,1736,645,697,,Reflected,"[28471589181, lozinka1234]"
13,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,249,462,1736,643,697,,Reflected,"[28471589181, lozinka123?]"
11,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,383,462,1736,643,697,,Reflected,"[28471589181,  lozinka123]"
12,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,354,462,1736,645,697,,Reflected,"[28471589181, lozinka123!]"
14,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,393,462,1736,645,697,,Reflected,"[28471589181, lozinka123#]"
15,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,338,462,1736,649,697,,Reflected,"[28471589181, lozinka123$]"
17,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,431,462,1736,645,697,,Reflected,"[28471589181, lozinka123&]"
16,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,435,462,1736,643,697,,Reflected,"[28471589181, lozinka123%]"
18,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,455,462,1736,643,697,,Reflected,"[28471589181, lozinka123*]"
19,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,436,462,1735,641,697,,Reflected,"[28471589181, lozinka12!]"
20,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,442,462,1732,645,697,,Reflected,"[28471589181, lozinka]"
21,Fuzzed,Mon Dec 15 11:01:58 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,464,462,1735,645,697,,Reflected,"[28471589181, 123lozinka]"
22,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,414,462,1750,647,697,,Reflected,"[28471589181, <script>alert(1)</script>]"
23,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,364,462,1736,641,697,,Reflected,"[28471589181, ' OR 1=1 --]"
24,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,380,462,1729,647,697,,Reflected,"[28471589181, null]"
25,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,421,462,1734,647,697,,Reflected,"[28471589181, undefined]"
29,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,332,462,1730,641,697,,Reflected,"[28471589181, false]"
26,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,443,462,1727,641,697,,Reflected,"[28471589181, []]"
28,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,419,462,1729,643,697,,Reflected,"[28471589181, true]"
27,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,533,462,1727,643,697,,Reflected,"[28471589181, {}]"
31,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,201,Created,381,462,1727,1149,24,,,"[74059407950, """"]"
30,Fuzzed,Mon Dec 15 11:01:59 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,525,462,1735,645,697,,Reflected,"[28471589181, lozinka123]"
