Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
9,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,592,462,1736,1155,35,,,"[28471589181, lozinka123?]"
3,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,690,462,1735,1151,35,,,"[28471589181, Lozinka123]"
4,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,689,462,1735,1153,35,,,"[28471589181, LOZINKA123]"
7,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,742,462,1736,1149,35,,,"[28471589181,  lozinka123]"
6,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,753,462,1736,1151,35,,,"[28471589181, lozinka123 ]"
8,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,736,462,1736,1155,35,,,"[28471589181, lozinka123!]"
1,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,809,462,1734,1151,35,,,"[28471589181, lozinka12]"
2,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,813,462,1736,1151,35,,,"[28471589181, lozinka1234]"
5,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,846,462,1736,1151,35,,,"[28471589181, lozinka 123]"
11,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,318,462,1736,1155,35,,,"[28471589181, lozinka123$]"
10,Fuzzed,Mon Dec 15 11:21:02 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,921,462,1736,1151,35,,,"[28471589181, lozinka123#]"
14,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,219,462,1736,1151,35,,,"[28471589181, lozinka123*]"
13,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,296,462,1736,1149,35,,,"[28471589181, lozinka123&]"
18,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,202,462,1750,1151,35,,,"[28471589181, <script>alert(1)</script>]"
12,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,360,462,1736,1149,35,,,"[28471589181, lozinka123%]"
16,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,301,462,1732,1151,35,,,"[28471589181, lozinka]"
20,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,144,462,1729,1151,35,,,"[28471589181, null]"
17,Fuzzed,Mon Dec 15 11:21:03 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,287,462,1735,1155,35,,,"[28471589181, 123lozinka]"
