Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
4,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,201,Created,443,462,1733,1147,24,,,"[28471589181, Marić]"
2,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,452,462,1737,643,697,,Reflected,"[28471589181, Kovačević]"
3,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,512,462,1733,641,697,,Reflected,"[28471589181, Babić]"
5,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,504,462,1733,643,697,,Reflected,"[28471589181, Perić]"
1,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,524,462,1734,643,697,,Reflected,"[28471589181, Horvat]"
10,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,537,462,1731,643,697,,Reflected,"[28471589181, 123]"
9,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,539,462,1729,643,697,,Reflected,"[28471589181, A]"
7,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,545,462,1730,643,697,,Reflected,"[28471589181, Ng]"
6,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,563,462,1730,645,697,,Reflected,"[28471589181, Li]"
8,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,607,462,1729,643,697,,Reflected,"[28471589181, H]"
11,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,229,462,1734,641,697,,Reflected,"[28471589181, 123456]"
13,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,178,462,1780,643,680,,,"[28471589181, AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]"
12,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,270,462,1738,641,697,,Reflected,"[28471589181, AAAAAAAAAA]"
14,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,341,462,1735,641,697,,Reflected,"[28471589181, Horvat1]"
15,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,340,462,1735,641,697,,Reflected,"[28471589181, 1Horvat]"
17,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,292,462,1735,643,697,,Reflected,"[28471589181, Horv@t!]"
16,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,296,462,1734,643,697,,Reflected,"[28471589181, Horv@t]"
19,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,331,462,1741,641,697,,Reflected,"[28471589181, Horvat-Horvat]"
18,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,338,462,1735,641,697,,Reflected,"[28471589181, Horv@t#]"
21,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,274,462,1741,643,697,,Reflected,"[28471589181, Horvat.Horvat]"
20,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,316,462,1741,643,697,,Reflected,"[28471589181, Horvat_Horvat]"
23,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,319,462,1741,643,697,,Reflected,"[28471589181, Horvat\Horvat]"
22,Fuzzed,Sun Dec 14 23:26:49 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,386,462,1741,645,697,,Reflected,"[28471589181, Horvat/Horvat]"
24,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,225,462,1741,647,697,,Reflected,"[28471589181, Horvat|Horvat]"
25,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,224,462,1741,643,697,,Reflected,"[28471589181, Horvat;Horvat]"
26,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,252,462,1741,643,697,,Reflected,"[28471589181, Horvat:Horvat]"
28,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,275,462,1741,641,697,,Reflected,"[28471589181, Horvat""Horvat]"
29,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,272,462,1741,643,697,,Reflected,"[28471589181, Horvat`Horvat]"
27,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,334,462,1741,649,697,,Reflected,"[28471589181, Horvat'Horvat]"
30,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,254,462,1741,647,697,,Reflected,"[28471589181, Horvat#Horvat]"
32,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,217,462,1741,641,697,,Reflected,"[28471589181, Horvat%Horvat]"
31,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,324,462,1741,643,697,,Reflected,"[28471589181, Horvat$Horvat]"
33,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,213,462,1741,649,697,,Reflected,"[28471589181, Horvat&Horvat]"
34,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,225,462,1741,641,697,,Reflected,"[28471589181, Horvat<Horvat]"
36,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,244,462,1753,643,697,,Reflected,"[28471589181, <script>alert(1)</script>]"
35,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,369,462,1741,645,697,,Reflected,"[28471589181, Horvat>Horvat]"
38,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,268,462,1739,643,697,,Reflected,"[28471589181, ' OR 1=1 --]"
40,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,248,462,1732,649,697,,Reflected,"[28471589181, null]"
39,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,258,462,1736,645,697,,Reflected,"[28471589181, 1 OR 1=1]"
46,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,39,462,1728,1153,34,,,"[28471589181, ]"
41,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,228,462,1737,645,697,,Reflected,"[28471589181, undefined]"
42,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,269,462,1730,643,697,,Reflected,"[28471589181, []]"
37,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,361,462,1756,641,697,,Reflected,"[28471589181, <img src=x onerror=alert(1)>]"
44,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,281,462,1732,645,697,,Reflected,"[28471589181, true]"
43,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,297,462,1730,643,697,,Reflected,"[28471589181, {}]"
45,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,260,462,1733,641,697,,Reflected,"[28471589181, false]"
47,Fuzzed,Sun Dec 14 23:26:50 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,195,462,1729,643,697,,Reflected,"[28471589181,  ]"
