Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
1,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,56,462,1728,1149,34,,,"[28471589181, ]"
2,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,201,Created,208,462,1729,1149,24,,Reflected,"[28471589181,  ]"
4,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,226,462,1741,643,697,,Reflected,"[28471589181, Horvat""Horvat]"
3,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,317,462,1741,645,697,,Reflected,"[28471589181, Horvat'Horvat]"
11,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,267,462,1741,641,697,,Reflected,"[28471589181, Horvat>Horvat]"
9,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,308,462,1741,641,697,,Reflected,"[28471589181, Horvat&Horvat]"
6,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,373,462,1741,643,697,,Reflected,"[28471589181, Horvat#Horvat]"
8,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,369,462,1741,643,697,,Reflected,"[28471589181, Horvat%Horvat]"
7,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,424,462,1741,641,697,,Reflected,"[28471589181, Horvat$Horvat]"
10,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,431,462,1741,643,697,,Reflected,"[28471589181, Horvat<Horvat]"
12,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,253,462,1753,641,697,,Reflected,"[28471589181, <script>alert(1)</script>]"
14,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,252,462,1739,645,697,,Reflected,"[28471589181, ' OR 1=1 --]"
5,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,565,462,1741,643,697,,Reflected,"[28471589181, Horvat`Horvat]"
15,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,249,462,1736,643,697,,Reflected,"[28471589181, 1 OR 1=1]"
16,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,276,462,1732,643,697,,Reflected,"[28471589181, null]"
17,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,258,462,1737,641,697,,Reflected,"[28471589181, undefined]"
18,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,266,462,1730,645,697,,Reflected,"[28471589181, []]"
13,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,444,462,1756,645,697,,Reflected,"[28471589181, <img src=x onerror=alert(1)>]"
20,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,271,462,1732,643,697,,Reflected,"[28471589181, true]"
21,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,283,462,1733,645,697,,Reflected,"[28471589181, false]"
23,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,236,462,1734,641,697,,Reflected,"[28471589181, 123456]"
19,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,369,462,1730,645,697,,Reflected,"[28471589181, {}]"
24,Fuzzed,Sun Dec 14 23:41:19 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,258,462,1738,645,697,,Reflected,"[28471589181, AAAAAAAAAA]"
