Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
4,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,560,462,1739,1153,35,,,"[28471589181, ' OR 1=1 --]"
1,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,602,462,1728,1149,35,,,"[28471589181, ]"
5,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,629,462,1736,1153,35,,,"[28471589181, 1 OR 1=1]"
2,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,674,462,1753,1149,35,,,"[28471589181, <script>alert(1)</script>]"
7,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,707,462,1737,1149,35,,,"[28471589181, undefined]"
6,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,729,462,1732,1153,35,,,"[28471589181, null]"
3,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,737,462,1756,1151,35,,,"[28471589181, <img src=x onerror=alert(1)>]"
9,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,765,462,1730,1149,35,,,"[28471589181, {}]"
8,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,774,462,1730,1151,35,,,"[28471589181, []]"
10,Fuzzed,Mon Dec 15 08:16:26 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,779,462,1732,1157,35,,,"[28471589181, true]"
11,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,290,462,1733,1151,35,,,"[28471589181, false]"
14,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,219,462,1729,1153,35,,Reflected,"[28471589181,  ]"
12,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,350,462,1729,1155,35,,,"[28471589181, H]"
15,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,229,462,1731,1151,35,,,"[28471589181, 123]"
18,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,194,462,1780,1157,35,,,"[28471589181, AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]"
13,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,363,462,1729,1151,35,,,"[28471589181, A]"
16,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,317,462,1734,1149,35,,,"[28471589181, 123456]"
17,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,338,462,1738,1153,35,,,"[28471589181, AAAAAAAAAA]"
19,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,288,462,1735,1151,35,,,"[28471589181, Horvat1]"
24,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,184,462,1741,1153,35,,,"[28471589181, Horvat-Horvat]"
21,Fuzzed,Mon Dec 15 08:16:27 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,290,462,1734,1149,35,,,"[28471589181, Horv@t]"
